"id.exposure","id.outcome","method","nsnp","b","se","ci_low","ci_upp","pval","steiger_filtered","outlier_filtered","selection","method2","MOE"
"ukb-d-30020_irnt","ebi-a-GCST005038","Weighted mode",210,0.0121451724471815,0.0488111299144041,-0.0835228842297561,0.107813229124119,0.803744561316278,TRUE,TRUE,"DF + HF","Weighted mode - DF + HF",0.77
"ukb-d-30020_irnt","ebi-a-GCST005038","Simple mode",210,-0.0565716934735288,0.101639323629414,-0.255781107200191,0.142637720253133,0.578401297945683,FALSE,TRUE,"HF","Simple mode - HF",0.74
"ukb-d-30020_irnt","ebi-a-GCST005038","RE IVW",254,0.00702799261545476,0.0311379860063703,-0.054002459957031,0.0680584451879405,0.821613250696512,TRUE,FALSE,"DF","RE IVW - DF",0.72
"ukb-d-30020_irnt","ebi-a-GCST005038","Weighted mode",254,0.0436138994216915,0.0494058877587566,-0.0532198612096998,0.140447660053083,0.378200033314549,FALSE,FALSE,"Tophits","Weighted mode - Tophits",0.71
"ukb-d-30020_irnt","ebi-a-GCST005038","Simple mean",254,0.0538856257409073,0.0285367990813988,-0.00204650045863439,0.109817751940449,0.0601317244519713,TRUE,FALSE,"DF","Simple mean - DF",0.71
"ukb-d-30020_irnt","ebi-a-GCST005038","Penalised mode",210,0.0121451724471815,0.0508075319150223,-0.0874357602496316,0.111726105143995,0.811306669644478,TRUE,TRUE,"DF + HF","Penalised mode - DF + HF",0.7
"ukb-d-30020_irnt","ebi-a-GCST005038","Simple mean",254,0.0538856257409073,0.0285367990813988,-0.00204650045863439,0.109817751940449,0.0601317244519713,FALSE,FALSE,"Tophits","Simple mean - Tophits",0.69
"ukb-d-30020_irnt","ebi-a-GCST005038","RE Egger",254,0.010116354222324,0.0673778595866182,-0.121944250567448,0.142176959012096,0.880771426804088,FALSE,FALSE,"Tophits","RE Egger - Tophits",0.69
"ukb-d-30020_irnt","ebi-a-GCST005038","Weighted median",210,-0.00949933461777395,0.0394996314569697,-0.0869171896760398,0.0679185204404919,0.809949075357882,TRUE,TRUE,"DF + HF","Weighted median - DF + HF",0.69
"ukb-d-30020_irnt","ebi-a-GCST005038","RE IVW",254,0.00702799261545476,0.0311379860063703,-0.054002459957031,0.0680584451879405,0.821613250696512,FALSE,FALSE,"Tophits","RE IVW - Tophits",0.68
"ukb-d-30020_irnt","ebi-a-GCST005038","Simple mode",210,-0.0565716934735288,0.0956510309185392,-0.244044269157993,0.130900882210935,0.554865860832568,TRUE,TRUE,"DF + HF","Simple mode - DF + HF",0.68
"ukb-d-30020_irnt","ebi-a-GCST005038","Simple median",254,-0.00967973752683982,0.0375586732734758,-0.0832933844499595,0.0639339093962799,0.796620620695702,FALSE,FALSE,"Tophits","Simple median - Tophits",0.67
"ukb-d-30020_irnt","ebi-a-GCST005038","RE IVW",210,0.00236060896982059,0.0226096741658855,-0.041954352395315,0.0466755703349562,0.916946467415055,FALSE,TRUE,"HF","RE IVW - HF",0.67
"ukb-d-30020_irnt","ebi-a-GCST005038","Weighted median",210,-0.00949933461777395,0.0402799876275474,-0.0884466596654858,0.0694479904299379,0.813562562533788,FALSE,TRUE,"HF","Weighted median - HF",0.67
"ukb-d-30020_irnt","ebi-a-GCST005038","FE IVW",210,0.00236060896982059,0.0226096741658855,-0.041954352395315,0.0466755703349562,0.916846342606315,FALSE,TRUE,"HF","FE IVW - HF",0.66
"ukb-d-30020_irnt","ebi-a-GCST005038","Simple mean",210,0.0244743564607272,0.0240132405662607,-0.0225915950491438,0.0715403079705981,0.309285145427607,TRUE,TRUE,"DF + HF","Simple mean - DF + HF",0.66
"ukb-d-30020_irnt","ebi-a-GCST005038","FE IVW",254,0.00702799261545476,0.0205414399554751,-0.054002459957031,0.0680584451879405,0.732247574997836,FALSE,FALSE,"Tophits","FE IVW - Tophits",0.65
"ukb-d-30020_irnt","ebi-a-GCST005038","FE Egger",210,0.0401165229024292,0.0506016511874276,-0.0590627134249289,0.139295759229787,0.427899724696568,FALSE,TRUE,"HF","FE Egger - HF",0.65
"ukb-d-30020_irnt","ebi-a-GCST005038","Simple mode",254,-0.0129212826245282,0.0984197553754317,-0.205820458527617,0.17997789327856,0.895652226156689,TRUE,FALSE,"DF","Simple mode - DF",0.65
"ukb-d-30020_irnt","ebi-a-GCST005038","Penalised median",210,-0.00954921709351802,0.0400666271258107,-0.0880783632421025,0.0689799290550664,0.811622486696095,TRUE,TRUE,"DF + HF","Penalised median - DF + HF",0.64
"ukb-d-30020_irnt","ebi-a-GCST005038","Weighted median",254,0.0205676557663657,0.0414920662622445,-0.060755299751783,0.101890611284514,0.620105431996791,FALSE,FALSE,"Tophits","Weighted median - Tophits",0.62
"ukb-d-30020_irnt","ebi-a-GCST005038","Weighted mode",210,0.0121451724471815,0.0473062549479522,-0.0805733834942746,0.104863728388638,0.797635886632576,FALSE,TRUE,"HF","Weighted mode - HF",0.62
"ukb-d-30020_irnt","ebi-a-GCST005038","Simple median",254,-0.00967973752683982,0.0363803620351866,-0.0809839368603339,0.0616244618066542,0.790184989920468,TRUE,FALSE,"DF","Simple median - DF",0.62
"ukb-d-30020_irnt","ebi-a-GCST005038","Simple median",210,-0.0111390306770457,0.0391101401316645,-0.0877934967654227,0.0655154354113314,0.775788306555216,FALSE,TRUE,"HF","Simple median - HF",0.61
"ukb-d-30020_irnt","ebi-a-GCST005038","Penalised mode",210,0.0121451724471815,0.0499722513144108,-0.0857986403554481,0.110088985249811,0.80821406510045,FALSE,TRUE,"HF","Penalised mode - HF",0.61
"ukb-d-30020_irnt","ebi-a-GCST005038","Penalised median",254,0.0150968316728294,0.0403964019228472,-0.0640786612009556,0.0942723245466144,0.708614700505828,TRUE,FALSE,"DF","Penalised median - DF",0.61
"ukb-d-30020_irnt","ebi-a-GCST005038","RE Egger",210,0.0401165229024292,0.0506016511874276,-0.0590627134249289,0.139295759229787,0.428803061688893,TRUE,TRUE,"DF + HF","RE Egger - DF + HF",0.6
"ukb-d-30020_irnt","ebi-a-GCST005038","Penalised median",254,0.0150968316728294,0.0374046045950999,-0.0582148461895278,0.0884085095351866,0.686500332940263,FALSE,FALSE,"Tophits","Penalised median - Tophits",0.59
"ukb-d-30020_irnt","ebi-a-GCST005038","Simple mode",254,-0.0129212826245282,0.106188374108152,-0.221046671453372,0.195204106204316,0.903246946819473,FALSE,FALSE,"Tophits","Simple mode - Tophits",0.59
"ukb-d-30020_irnt","ebi-a-GCST005038","FE Egger",254,0.010116354222324,0.0443609777273426,-0.121944250567448,0.142176959012096,0.819610292271048,TRUE,FALSE,"DF","FE Egger - DF",0.59
"ukb-d-30020_irnt","ebi-a-GCST005038","RE Egger",254,0.010116354222324,0.0673778595866182,-0.121944250567448,0.142176959012096,0.880771426804088,TRUE,FALSE,"DF","RE Egger - DF",0.59
"ukb-d-30020_irnt","ebi-a-GCST005038","Simple median",210,-0.0111390306770457,0.0382036384679797,-0.0860167861526749,0.0637387247985836,0.770615499619456,TRUE,TRUE,"DF + HF","Simple median - DF + HF",0.59
"ukb-d-30020_irnt","ebi-a-GCST005038","Penalised mode",254,0.0247688387396185,0.0636393565424433,-0.0999620080828737,0.149499685562111,0.697450925657647,FALSE,FALSE,"Tophits","Penalised mode - Tophits",0.58
"ukb-d-30020_irnt","ebi-a-GCST005038","RE Egger",210,0.0401165229024292,0.0506016511874276,-0.0590627134249289,0.139295759229787,0.428803061688893,FALSE,TRUE,"HF","RE Egger - HF",0.58
"ukb-d-30020_irnt","ebi-a-GCST005038","Penalised mode",254,0.0247688387396185,0.05935297536272,-0.0915608553466057,0.141098532825843,0.676802512650793,TRUE,FALSE,"DF","Penalised mode - DF",0.58
"ukb-d-30020_irnt","ebi-a-GCST005038","RE IVW",210,0.00236060896982059,0.0226096741658855,-0.041954352395315,0.0466755703349562,0.916946467415055,TRUE,TRUE,"DF + HF","RE IVW - DF + HF",0.58
"ukb-d-30020_irnt","ebi-a-GCST005038","FE Egger",210,0.0401165229024292,0.0506016511874276,-0.0590627134249289,0.139295759229787,0.427899724696568,TRUE,TRUE,"DF + HF","FE Egger - DF + HF",0.58
"ukb-d-30020_irnt","ebi-a-GCST005038","Simple mean",210,0.0244743564607272,0.0240132405662607,-0.0225915950491438,0.0715403079705981,0.309285145427607,FALSE,TRUE,"HF","Simple mean - HF",0.57
"ukb-d-30020_irnt","ebi-a-GCST005038","Penalised median",210,-0.00954921709351802,0.0405379691967946,-0.0890021767256295,0.0699037425385935,0.813772333689795,FALSE,TRUE,"HF","Penalised median - HF",0.57
"ukb-d-30020_irnt","ebi-a-GCST005038","Weighted mode",254,0.0436138994216915,0.0461100623030393,-0.0467601620171636,0.133987960860547,0.345119860689332,TRUE,FALSE,"DF","Weighted mode - DF",0.57
"ukb-d-30020_irnt","ebi-a-GCST005038","FE IVW",210,0.00236060896982059,0.0226096741658855,-0.041954352395315,0.0466755703349562,0.916846342606315,TRUE,TRUE,"DF + HF","FE IVW - DF + HF",0.56
"ukb-d-30020_irnt","ebi-a-GCST005038","FE IVW",254,0.00702799261545476,0.0205414399554751,-0.054002459957031,0.0680584451879405,0.732247574997836,TRUE,FALSE,"DF","FE IVW - DF",0.55
"ukb-d-30020_irnt","ebi-a-GCST005038","FE Egger",254,0.010116354222324,0.0443609777273426,-0.121944250567448,0.142176959012096,0.819610292271048,FALSE,FALSE,"Tophits","FE Egger - Tophits",0.52
"ukb-d-30020_irnt","ebi-a-GCST005038","Weighted median",254,0.0205676557663657,0.040492816075595,-0.058796805374405,0.0999321169071365,0.61150001539236,TRUE,FALSE,"DF","Weighted median - DF",0.52
